2025-02-09 11:22:45,475 INFO    MainThread:14916 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_setup.py:_flush():68] Configure stats pid to 14916
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_setup.py:_flush():68] Loading settings from /home/mscer/.config/wandb/settings
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_setup.py:_flush():68] Loading settings from /home/mscer/workingspace/longcot_llm/models/wandb/settings
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /home/mscer/workingspace/longcot_llm/models/wandb/run-20250209_112245-xsgdpq61/logs/debug.log
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /home/mscer/workingspace/longcot_llm/models/wandb/run-20250209_112245-xsgdpq61/logs/debug-internal.log
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_init.py:init():756] calling init triggers
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10, '_wandb': {}}
2025-02-09 11:22:45,476 INFO    MainThread:14916 [wandb_init.py:init():789] starting backend
2025-02-09 11:22:45,691 INFO    MainThread:14916 [wandb_init.py:init():793] sending inform_init request
2025-02-09 11:22:45,700 INFO    MainThread:14916 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-09 11:22:45,700 INFO    MainThread:14916 [wandb_init.py:init():808] backend started and connected
2025-02-09 11:22:45,702 INFO    MainThread:14916 [wandb_init.py:init():901] updated telemetry
2025-02-09 11:22:45,711 INFO    MainThread:14916 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-09 11:22:56,302 INFO    MainThread:14916 [wandb_init.py:init():994] starting run threads in backend
2025-02-09 11:22:56,420 INFO    MainThread:14916 [wandb_run.py:_console_start():2385] atexit reg
2025-02-09 11:22:56,420 INFO    MainThread:14916 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-09 11:22:56,420 INFO    MainThread:14916 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-09 11:22:56,420 INFO    MainThread:14916 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-09 11:22:56,421 INFO    MainThread:14916 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-09 11:22:56,421 INFO    MainThread:14916 [wandb_run.py:_finish():2110] finishing run jiaqi-zjq/my-awesome-project/xsgdpq61
2025-02-09 11:22:56,422 INFO    MainThread:14916 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-09 11:22:56,422 INFO    MainThread:14916 [wandb_run.py:_restore():2332] restore
2025-02-09 11:22:56,422 INFO    MainThread:14916 [wandb_run.py:_restore():2338] restore done
2025-02-09 11:23:07,725 INFO    MainThread:14916 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-09 11:23:07,725 INFO    MainThread:14916 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-09 11:23:07,725 INFO    MainThread:14916 [wandb_run.py:_footer_sync_info():3924] logging synced files
